"Qty";"Value";"Device";"Package";"Parts";"Description";"ALTERNATE_PARTNUMBER";"APPLICATION_BUILDNUMBER";"BOI";"BOI-METRIC";"BUILT_BY";"CATEGORY";"COMPTYPE";"COPYRIGHT";"CREATED_BY";"DESCRIPTION";"DESIG";"DIGI#";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY_PART_NUMBER";"FAB";"ISP_PART";"MANF#";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUNTTYPE";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGEREFERENCE";"PARTNUMBER";"PART_STATUS";"PIN_COUNT";"POPULARITY";"REF";"REFDES";"ROHS";"ROHS_COMPLIANT";"SERIES";"SOURCELIBRARY";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TP_SIGNAL_NAME";"TYPE";"URL";"VALUE";"VENDOR";"VOLTAGE_RATING";
"12";"0.1uF";"C-EUC0201";"C0201";"C2, C3, C9, C10, C11, C17, C22, C25, C26, C27, C32, C34";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"0.47uF";"C-EUC0201";"C0201";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"0ohm";"C-EUC0402";"C0402";"L2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"1.8nF";"C-EUC0402";"C0402";"C45";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"8";"100";"R-US_R0201";"R0201";"R6, R7, R8, R9, R12, R13, R16, R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"7";"10000pF";"C-EUC0201";"C0201";"C13, C21, C29, C30, C31, C33, C35";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"3";"100k";"R-US_R0201";"R0201";"R1, R31, R32";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"1";"100pF";"C-EUC0201";"C0201";"C53";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"100pF";"C-EUC0402";"C0402";"C44";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"3";"10k";"R-US_R0201";"R0201";"R2, R33, R37";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"2";"10nF";"C-EUC0402";"C0402";"C48, C49";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"2";"10pF";"C-EUC0201";"C0201";"C38, C39";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"10uF";"C-EUC0402";"C0402";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"10uF";"C-EUC0603";"C0603";"C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"2";"130";"R-US_R0201";"R0201";"R24, R28";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"3";"15pF";"C-EUC0201";"C0201";"C19, C36, C37";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"196ohm";"R-US_R0201";"R0201";"R34";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"1";"1k";"R-US_R0201";"R0201";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
